transaction_id,type,time,value
30000,BEGIN,417,
30000,attr_A,423,23
30000,attr_B,426,7
30000,attr_C,436,30
30000,attr_D,439,0
30000,attr_D,444,0
30000,attr_C,445,30
30000,attr_B,448,7
30000,attr_A,451,23
30000,END,453,
30001,BEGIN,456,
30001,attr_C,460,30
30001,attr_D,463,0
30001,attr_C,467,34
30001,attr_D,475,-4
30001,attr_C,479,34
30001,attr_D,482,-4
30001,attr_B,484,18
30001,attr_A,488,12
30001,attr_B,498,20
30001,attr_A,503,10
30001,attr_B,507,20
30001,attr_A,512,10
30001,END,520,
30002,BEGIN,530,
30002,attr_D,538,-4
30002,attr_C,541,34
30002,attr_D,544,-3
30002,attr_C,549,33
30002,attr_D,554,-3
30002,attr_C,556,33
30002,attr_A,558,10
30002,attr_B,561,20
30002,attr_A,568,19
30002,attr_B,572,11
30002,attr_A,579,19
30002,attr_B,582,11
30002,attr_D,589,-3
30002,attr_C,595,33
30002,attr_D,598,0
30002,attr_C,602,30
30002,attr_D,608,0
30002,attr_C,612,30
30002,END,615,
30003,BEGIN,626,
30003,attr_A,629,19
30003,attr_B,632,11
30003,attr_C,634,30
30003,attr_D,637,0
30003,attr_D,640,0
30003,attr_C,643,30
30003,attr_B,646,11
30003,attr_A,657,19
30003,END,661,
30004,BEGIN,665,
30004,attr_B,667,-1
30004,attr_A,672,31
30004,attr_B,675,0
30004,attr_A,686,30
30004,attr_B,692,0
30004,attr_A,695,30
30004,attr_C,697,0
30004,attr_D,701,30
30004,attr_C,703,10
30004,attr_D,707,20
30004,attr_C,712,10
30004,attr_D,714,20
30004,attr_B,716,0
30004,attr_A,719,30
30004,attr_B,723,9
30004,attr_A,725,21
30004,attr_B,727,9
30004,attr_A,730,21
30004,attr_A,732,21
30004,attr_B,734,9
30004,attr_A,737,30
30004,attr_B,740,0
30004,attr_A,743,30
30004,attr_B,744,0
30004,END,747,
30005,BEGIN,754,
30005,attr_A,758,30
30005,attr_B,761,0
30005,attr_C,764,10
30005,attr_D,767,20
30005,attr_D,776,20
30005,attr_C,786,10
30005,attr_B,788,0
30005,attr_A,791,30
30005,END,798,
30006,BEGIN,799,
30006,attr_B,802,19
30006,attr_A,805,11
30006,attr_B,807,21
30006,attr_A,810,9
30006,attr_B,812,21
30006,attr_A,815,9
30006,attr_B,818,21
30006,attr_A,821,9
30006,attr_B,826,29
30006,attr_A,830,1
30006,attr_B,836,29
30006,attr_A,841,1
30006,attr_A,843,1
30006,attr_B,845,29
30006,attr_A,851,9
30006,attr_B,855,21
30006,attr_A,859,9
30006,attr_B,864,21
30006,attr_D,867,-17
30006,attr_C,874,47
30006,attr_D,877,-11
30006,attr_C,880,41
30006,attr_D,882,-11
30006,attr_C,885,41
30006,attr_D,888,-11
30006,attr_C,890,41
