transaction_id,type,time,value
10000,BEGIN,5,
10000,attr_B,7,20
10000,attr_A,8,10
10000,attr_B,10,23
10000,attr_A,12,7
10000,attr_B,14,23
10000,attr_A,16,7
10000,attr_C,18,30
10000,attr_D,20,0
10000,attr_C,23,38
10000,attr_D,26,-8
10000,attr_C,28,38
10000,attr_D,30,-8
10000,attr_C,32,38
10000,attr_D,34,-8
10000,attr_C,38,48
10000,attr_D,40,-18
10000,attr_C,42,48
10000,attr_D,44,-18
10000,END,47,
10001,BEGIN,55,
10001,attr_D,57,-18
10001,attr_C,59,48
10001,attr_D,61,-10
10001,attr_C,64,40
10001,attr_D,66,-10
10001,attr_C,68,40
10001,attr_A,70,7
10001,attr_B,72,23
10001,attr_A,75,9
10001,attr_B,77,21
10001,attr_A,79,9
10001,attr_B,80,21
10001,attr_D,82,-10
10001,attr_C,84,40
10001,attr_D,87,-6
10001,attr_C,90,36
10001,attr_D,92,-6
10001,attr_C,94,36
10001,attr_B,96,21
10001,attr_A,98,9
10001,attr_B,104,31
10001,attr_A,105,-1
10001,attr_B,107,31
10001,attr_A,109,-1
10001,END,111,
10002,BEGIN,117,
10002,attr_A,119,-1
10002,attr_B,121,31
10002,attr_C,123,36
10002,attr_D,125,-6
10002,attr_D,127,-6
10002,attr_C,129,36
10002,attr_B,131,31
10002,attr_A,133,-1
10002,END,135,
10003,BEGIN,137,
10003,attr_A,139,-1
10003,attr_B,141,31
10003,attr_C,143,36
10003,attr_D,145,-6
10003,attr_D,147,-6
10003,attr_C,149,36
10003,attr_B,151,31
10003,attr_A,153,-1
10003,END,155,
10004,BEGIN,157,
10004,attr_A,159,-1
10004,attr_B,165,31
10004,attr_C,167,36
10004,attr_D,169,-6
10004,attr_D,171,-6
10004,attr_C,173,36
10004,attr_B,175,31
10004,attr_A,177,-1
10004,END,179,
10005,BEGIN,181,
10005,attr_C,183,38
10005,attr_D,185,-8
10005,attr_C,187,48
10005,attr_D,189,-18
10005,attr_C,191,48
10005,attr_D,192,-18
10005,attr_C,194,48
10005,attr_D,196,-18
