transaction_id,type,time,value
0,BEGIN,6,
0,attr_A,9,10
0,attr_B,11,20
0,attr_C,13,30
0,attr_D,15,0
0,attr_D,17,0
0,attr_C,19,30
0,attr_B,21,20
0,attr_A,22,10
0,END,24,
1,BEGIN,25,
1,attr_A,27,10
1,attr_B,29,20
1,attr_C,31,30
1,attr_D,33,0
1,attr_D,35,0
1,attr_C,36,30
1,attr_B,37,20
1,attr_A,39,10
1,END,41,
2,BEGIN,43,
2,attr_A,45,10
2,attr_B,46,20
2,attr_C,52,30
2,attr_D,53,0
2,attr_D,54,0
2,attr_C,56,30
2,attr_B,58,20
2,attr_A,60,10
2,END,62,
3,BEGIN,63,
3,attr_D,65,-18
3,attr_C,67,48
3,attr_D,69,-13
3,attr_C,71,43
3,attr_D,73,-13
3,attr_C,74,43
3,attr_A,76,7
3,attr_B,78,23
3,attr_A,81,9
3,attr_B,83,21
3,attr_A,85,9
3,attr_B,86,21
3,attr_A,88,9
3,attr_B,89,21
3,attr_A,91,12
3,attr_B,93,18
3,attr_A,95,12
3,attr_B,97,18
3,END,99,
4,BEGIN,106,
4,attr_D,108,-13
4,attr_C,110,43
4,attr_D,116,-7
4,attr_C,118,37
4,attr_D,120,-7
4,attr_C,122,37
4,attr_A,124,12
4,attr_B,126,18
4,attr_A,128,17
4,attr_B,130,13
4,attr_A,132,17
4,attr_B,134,13
4,attr_C,136,37
4,attr_D,138,-7
4,attr_C,140,38
4,attr_D,142,-8
4,attr_C,144,38
4,attr_D,146,-8
4,attr_B,148,13
4,attr_A,150,17
4,attr_B,152,19
4,attr_A,154,11
4,attr_B,156,19
4,attr_A,158,11
4,END,160,
5,BEGIN,166,
5,attr_A,168,11
5,attr_B,170,19
5,attr_C,172,38
5,attr_D,174,-8
5,attr_D,176,-8
5,attr_C,178,38
5,attr_B,180,19
5,attr_A,182,11
5,END,184,
6,BEGIN,186,
6,attr_D,188,-8
6,attr_C,190,38
6,attr_D,193,-6
6,attr_C,195,36
6,attr_D,197,-6
6,attr_C,198,36
6,attr_A,200,11
6,attr_B,202,19
6,attr_A,204,17
6,attr_B,206,13
6,attr_A,208,17
6,attr_B,210,13
6,END,212,
7,BEGIN,218,
7,attr_C,220,36
7,attr_D,222,-6
7,attr_C,225,44
7,attr_D,227,-14
7,attr_C,229,44
7,attr_D,231,-14
7,attr_B,233,13
7,attr_A,239,17
7,attr_B,243,17
7,attr_A,246,13
7,attr_B,249,17
7,attr_A,251,13
7,attr_D,253,-14
7,attr_C,256,44
7,attr_D,259,-5
7,attr_C,262,35
7,attr_D,265,-5
7,attr_C,267,35
7,END,270,
8,BEGIN,277,
8,attr_D,280,-5
8,attr_C,283,35
8,attr_D,287,-3
8,attr_C,290,33
8,attr_D,293,-3
8,attr_C,295,33
8,attr_D,299,-3
8,attr_C,301,33
8,attr_D,304,0
8,attr_C,308,30
8,attr_D,310,0
8,attr_C,312,30
8,attr_A,318,13
8,attr_B,319,17
8,attr_A,323,23
8,attr_B,326,7
8,attr_A,329,23
8,attr_B,332,7
8,END,335,
9,BEGIN,344,
9,attr_A,346,23
9,attr_B,349,7
9,attr_C,352,30
9,attr_D,355,0
9,attr_D,358,0
9,attr_C,360,30
9,attr_B,362,7
9,attr_A,364,23
9,END,367,
10,BEGIN,370,
10,attr_B,373,7
10,attr_A,377,23
10,attr_B,380,10
10,attr_A,383,20
10,attr_B,386,10
10,attr_A,389,20
10,attr_A,391,20
10,attr_B,393,10
10,attr_A,397,28
10,attr_B,401,2
10,attr_A,404,28
10,attr_B,406,2
10,attr_B,409,2
10,attr_A,412,28
10,attr_B,414,5
10,attr_A,418,25
10,attr_B,424,5
10,attr_A,427,25
10,attr_B,430,5
10,attr_A,432,25
10,attr_B,434,6
10,attr_A,438,24
10,attr_B,441,6
10,attr_A,442,24
10,attr_B,447,6
10,attr_A,450,24
10,attr_B,455,13
10,attr_A,458,17
10,attr_B,461,13
10,attr_A,464,17
10,END,468,
11,BEGIN,473,
11,attr_A,476,17
11,attr_B,480,13
11,attr_A,486,26
11,attr_B,494,4
11,attr_A,496,26
11,attr_B,500,4
11,attr_D,504,0
11,attr_C,508,30
11,attr_D,511,3
11,attr_C,514,27
11,attr_D,525,3
11,attr_C,528,27
11,END,531,
12,BEGIN,539,
12,attr_D,546,3
12,attr_C,551,27
12,attr_D,553,7
12,attr_C,557,23
12,attr_D,559,7
12,attr_C,563,23
12,attr_A,565,26
12,attr_B,566,4
12,attr_A,570,31
12,attr_B,571,-1
12,attr_A,575,31
12,attr_B,581,-1
12,attr_D,584,7
12,attr_C,586,23
12,attr_D,588,13
12,attr_C,591,17
12,attr_D,593,13
12,attr_C,596,17
12,attr_D,597,13
12,attr_C,600,17
12,attr_D,604,20
12,attr_C,613,10
12,attr_D,618,20
12,attr_C,624,10
12,attr_D,628,20
12,attr_C,631,10
12,attr_D,633,30
12,attr_C,638,0
12,attr_D,641,30
12,attr_C,644,0
12,END,648,
13,BEGIN,659,
13,attr_A,662,31
13,attr_B,663,-1
13,attr_A,669,36
13,attr_B,673,-6
13,attr_A,676,36
13,attr_B,682,-6
13,attr_A,685,36
13,attr_B,694,-6
13,attr_A,698,43
13,attr_B,706,-13
13,attr_A,710,43
13,attr_B,715,-13
13,attr_B,718,-13
13,attr_A,720,43
13,attr_B,721,-7
13,attr_A,724,37
13,attr_B,726,-7
13,attr_A,729,37
13,attr_D,733,30
13,attr_C,736,0
13,attr_D,739,38
13,attr_C,742,-8
13,attr_D,745,38
13,attr_C,751,-8
13,attr_D,756,38
13,attr_C,759,-8
13,attr_D,766,46
13,attr_C,770,-16
13,attr_D,774,46
13,attr_C,777,-16
13,END,779,
14,BEGIN,824,
14,attr_A,828,11
14,attr_B,831,19
14,attr_C,833,47
14,attr_D,837,-17
14,attr_D,842,-17
14,attr_C,848,47
14,attr_B,854,19
14,attr_A,857,11
14,END,861,
15,BEGIN,869,
15,attr_B,872,19
15,attr_A,875,11
15,attr_B,879,23
15,attr_A,882,7
15,attr_B,884,23
15,attr_A,889,7
15,attr_B,893,23
15,attr_A,897,7
15,attr_B,902,27
15,attr_A,905,3
15,attr_B,908,27
15,attr_A,916,3
15,attr_C,920,47
15,attr_D,925,-17
15,attr_C,929,54
15,attr_D,933,-24
15,attr_C,936,54
15,attr_D,940,-24
15,attr_B,942,27
15,attr_A,944,3
15,attr_B,948,28
15,attr_A,952,2
15,attr_B,958,28
15,attr_A,969,2
15,attr_D,973,-24
15,attr_C,976,54
15,attr_D,980,-18
15,attr_C,984,48
15,attr_D,989,-18
15,attr_C,991,48
15,END,993,
16,BEGIN,1004,
16,attr_A,1007,2
16,attr_B,1014,28
16,attr_C,1019,48
16,attr_D,1024,-18
16,attr_D,1028,-18
16,attr_C,1036,48
16,attr_B,1038,28
16,attr_A,1044,2
16,END,1046,
17,BEGIN,1049,
17,attr_C,1053,61
17,attr_D,1064,-31
17,attr_C,1068,68
17,attr_D,1073,-38
17,attr_C,1077,68
17,attr_D,1081,-38
17,END,1089,
18,BEGIN,1097,
18,attr_A,1100,-4
